created_at;full_text;label;casefold;cleaned;tokens;stopword_removed;stemmed;final_text
Thu May 30 18:39:13 +0000 2024;Oh aespa fans just think in about lsfm now without even being in a fight the obsession ;Interaksi Fandom;oh aespa fans just think in about lsfm now without even being in a fight the obsession ;oh aespa fans just think in about lsfm now without even being in a fight the obsession;['oh', 'aespa', 'fans', 'just', 'think', 'in', 'about', 'lsfm', 'now', 'without', 'even', 'being', 'in', 'a', 'fight', 'the', 'obsession'];['fans', 'think', 'lsfm', 'without', 'even', 'fight', 'obsession'];['fans', 'think', 'lsfm', 'without', 'even', 'fight', 'obsession'];fans think lsfm without even fight obsession
Thu May 30 21:58:26 +0000 2024;ã…¤ ã…¤ Embracing the essence of elegance the Outfit Of The MCD radiates with Aespa's timeless allure. Every stitch tells a story of grace every detail whispers sophistication. ã…¤ã…¤ https://t.co/Lzi0LsKVgi;Opini/Ekspresi;ã…¤ ã…¤ embracing the essence of elegance the outfit of the mcd radiates with aespa's timeless allure. every stitch tells a story of grace every detail whispers sophistication. ã…¤ã…¤ https://t.co/lzi0lskvgi;embracing the essence of elegance the outfit of the mcd radiates with aespa s timeless allure every stitch tells a story of grace every detail whispers sophistication;['embracing', 'the', 'essence', 'of', 'elegance', 'the', 'outfit', 'of', 'the', 'mcd', 'radiates', 'with', 'aespa', 's', 'timeless', 'allure', 'every', 'stitch', 'tells', 'a', 'story', 'of', 'grace', 'every', 'detail', 'whispers', 'sophistication'];['embracing', 'essence', 'elegance', 'outfit', 'mcd', 'radiates', 'timeless', 'allure', 'every', 'stitch', 'tells', 'story', 'grace', 'every', 'detail', 'whispers', 'sophistication'];['embracing', 'essence', 'elegance', 'outfit', 'mcd', 'radiates', 'timeless', 'allure', 'every', 'stitch', 'tells', 'story', 'grace', 'every', 'detail', 'whispers', 'sophistication'];embracing essence elegance outfit mcd radiates timeless allure every stitch tells story grace every detail whispers sophistication
Thu May 30 21:33:22 +0000 2024;my first time every buying an aespa album and my pulls oh karina you want me so bad https://t.co/IJzixh6B3H;Informasi;my first time every buying an aespa album and my pulls oh karina you want me so bad https://t.co/ijzixh6b3h;my first time every buying an aespa album and my pulls oh karina you want me so bad;['my', 'first', 'time', 'every', 'buying', 'an', 'aespa', 'album', 'and', 'my', 'pulls', 'oh', 'karina', 'you', 'want', 'me', 'so', 'bad'];['first', 'time', 'every', 'buying', 'album', 'pulls', 'karina', 'want', 'bad'];['first', 'time', 'every', 'buying', 'album', 'pulls', 'karina', 'want', 'bad'];first time every buying album pulls karina want bad
Thu May 30 21:04:11 +0000 2024;Then y'all forgot Karina joining BoA in this video too? Not knowing Korean but easily get fooled by some mistranslations from random stan twt as y'all suck random d!cks on streets daily? Don't steal those quality songs of GOT for aespa let those songs flop as y'all wish yikes https://t.co/XsSOJlByZU;Interaksi Fandom;then y'all forgot karina joining boa in this video too? not knowing korean but easily get fooled by some mistranslations from random stan twt as y'all suck random d!cks on streets daily? don't steal those quality songs of got for aespa let those songs flop as y'all wish yikes https://t.co/xssojlbyzu;then y all forgot karina joining boa in this video too not knowing korean but easily get fooled by some mistranslations from random stan twt as y all suck random d cks on streets daily don t steal those quality songs of got for aespa let those songs flop as y all wish yikes;['then', 'y', 'all', 'forgot', 'karina', 'joining', 'boa', 'in', 'this', 'video', 'too', 'not', 'knowing', 'korean', 'but', 'easily', 'get', 'fooled', 'by', 'some', 'mistranslations', 'from', 'random', 'stan', 'twt', 'as', 'y', 'all', 'suck', 'random', 'd', 'cks', 'on', 'streets', 'daily', 'don', 't', 'steal', 'those', 'quality', 'songs', 'of', 'got', 'for', 'aespa', 'let', 'those', 'songs', 'flop', 'as', 'y', 'all', 'wish', 'yikes'];['forgot', 'karina', 'joining', 'boa', 'video', 'knowing', 'korean', 'easily', 'get', 'fooled', 'mistranslations', 'random', 'stan', 'twt', 'suck', 'random', 'cks', 'streets', 'daily', 'steal', 'quality', 'songs', 'got', 'let', 'songs', 'flop', 'wish', 'yikes'];['forgot', 'karina', 'joining', 'boa', 'video', 'knowing', 'korean', 'easily', 'get', 'fooled', 'mistranslations', 'random', 'stan', 'twt', 'suck', 'random', 'cks', 'streets', 'daily', 'steal', 'quality', 'songs', 'got', 'let', 'songs', 'flop', 'wish', 'yikes'];forgot karina joining boa video knowing korean easily get fooled mistranslations random stan twt suck random cks streets daily steal quality songs got let songs flop wish yikes
Wed May 22 15:01:23 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' MY Power NINGNING aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #NINGNING #ë‹ë‹ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/sCOWO06mrJ;Informasi;aespa ì—ìš¤íœœ 'armageddon' my power ningning aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #ningning #ë‹ë‹ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/scowo06mrj;aespa armageddon my power ningning aespa the st album armageddon armageddon pm kst aespa spa ningning armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'my', 'power', 'ningning', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'ningning', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'ningning', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'ningning', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'ningning', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'ningning', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon power ningning st album armageddon armageddon pm kst ningning armageddon aespaarmageddon supernova aespasupernova
Wed May 22 15:00:57 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' MY Power WINTER aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #WINTER #ìœˆí„° #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/S2UmbDBPAc;Informasi;aespa ì—ìš¤íœœ 'armageddon' my power winter aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #winter #ìœˆí„° #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/s2umbdbpac;aespa armageddon my power winter aespa the st album armageddon armageddon pm kst aespa spa winter armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'my', 'power', 'winter', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'winter', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'winter', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'winter', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'winter', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'winter', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon power winter st album armageddon armageddon pm kst winter armageddon aespaarmageddon supernova aespasupernova
Sat May 25 15:01:45 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' MV Teaser https://t.co/o33omPtgep aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #WINTER #ìœˆí„° #Armageddon #aespaArmageddon #Supernova https://t.co/NSvDzgbrsY;Informasi;aespa ì—ìš¤íœœ 'armageddon' mv teaser https://t.co/o33omptgep aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #winter #ìœˆí„° #armageddon #aespaarmageddon #supernova https://t.co/nsvdzgbrsy;aespa armageddon mv teaser aespa the st album armageddon armageddon pm kst aespa spa winter armageddon aespaarmageddon supernova;['aespa', 'armageddon', 'mv', 'teaser', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'winter', 'armageddon', 'aespaarmageddon', 'supernova'];['armageddon', 'mv', 'teaser', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'winter', 'armageddon', 'aespaarmageddon', 'supernova'];['armageddon', 'mv', 'teaser', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'winter', 'armageddon', 'aespaarmageddon', 'supernova'];armageddon mv teaser st album armageddon armageddon pm kst winter armageddon aespaarmageddon supernova
Thu May 23 15:11:09 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' Unknown GISELLE aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #GISELLE #ì§€ì ¤ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/GUtunnT2BI;Informasi;aespa ì—ìš¤íœœ 'armageddon' unknown giselle aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #giselle #ì§€ì ¤ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/gutunnt2bi;aespa armageddon unknown giselle aespa the st album armageddon armageddon pm kst aespa spa giselle armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'unknown', 'giselle', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'giselle', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'unknown', 'giselle', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'giselle', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'unknown', 'giselle', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'giselle', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon unknown giselle st album armageddon armageddon pm kst giselle armageddon aespaarmageddon supernova aespasupernova
Thu May 23 12:00:20 +0000 2024;#Supernova with #JAESUK ï¸ https://t.co/gF5DCqyH6H #ìœ ìž¬ì„ #ìœ ìž¬ë‹ˆ #YOOJAENY #ë¯¸ë‹ˆí•‘ê³„ê³  #miniPinggyego #KARINA #ì¹´ë¦¬ë‚˜ #WINTER #ìœˆí„° #aespaSupernova #Armageddon #aespaArmageddon https://t.co/0zHCmcT82A;Informasi;#supernova with #jaesuk ï¸ https://t.co/gf5dcqyh6h #ìœ ìž¬ì„ #ìœ ìž¬ë‹ˆ #yoojaeny #ë¯¸ë‹ˆí•‘ê³„ê³  #minipinggyego #karina #ì¹´ë¦¬ë‚˜ #winter #ìœˆí„° #aespasupernova #armageddon #aespaarmageddon https://t.co/0zhcmct82a;supernova with jaesuk yoojaeny minipinggyego karina winter aespasupernova armageddon aespaarmageddon;['supernova', 'with', 'jaesuk', 'yoojaeny', 'minipinggyego', 'karina', 'winter', 'aespasupernova', 'armageddon', 'aespaarmageddon'];['supernova', 'jaesuk', 'yoojaeny', 'minipinggyego', 'karina', 'winter', 'aespasupernova', 'armageddon', 'aespaarmageddon'];['supernova', 'jaesuk', 'yoojaeny', 'minipinggyego', 'karina', 'winter', 'aespasupernova', 'armageddon', 'aespaarmageddon'];supernova jaesuk yoojaeny minipinggyego karina winter aespasupernova armageddon aespaarmageddon
Wed May 22 15:01:28 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' MY Power aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/pNlhUv0yEj;Informasi;aespa ì—ìš¤íœœ 'armageddon' my power aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/pnlhuv0yej;aespa armageddon my power aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'my', 'power', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'power', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon power st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
Thu May 23 13:00:16 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' Album Details (Poster Ver.) aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/p7Mc9NRvQH;Informasi;aespa ì—ìš¤íœœ 'armageddon' album details (poster ver.) aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/p7mc9nrvqh;aespa armageddon album details poster ver aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'album', 'details', 'poster', 'ver', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'poster', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'poster', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon album details poster ver st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
Thu May 23 15:01:33 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' Album Details (CDP Ver.) aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/77WiiQeUqL;Informasi;aespa ì—ìš¤íœœ 'armageddon' album details (cdp ver.) aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/77wiiqeuql;aespa armageddon album details cdp ver aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'album', 'details', 'cdp', 'ver', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'cdp', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'cdp', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon album details cdp ver st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
